Member_ID,Gender,Income,Marriage,Education,Vocation,Age,Country,Zipcode,Regeistered_date,Receive_DM,Newsletter,New_product_notification,是否同意關企企業應運用,是否收到簡訊,是否收到EMAIL,是否收到電訪
2018073100010252,M,-,-,-,-,32,Taiwan,-,2018/07/31,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018060900008648,M,-,-,-,-,27,Taiwan,-,2018/06/09,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018061000008898,F,-,-,-,-,58,Taiwan,100,2018/06/10,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018082500010743,F,-,-,-,-,32,Taiwan,-,2018/08/25,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018102500011945,F,-,-,-,-,32,Taiwan,852,2018/10/25,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018120100013163,M,-,-,-,-,41,Taiwan,115,2018/12/01,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018122200013544,F,-,-,-,-,41,Taiwan,104,2018/12/22,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018110100012449,M,-,-,-,-,49,Taiwan,-,2018/11/01,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018122400013588,F,-,-,-,-,68,Taiwan,-,2018/12/24,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019013100014339,F,-,-,-,-,24,Taiwan,-,2019/01/31,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018102500011982,M,-,-,-,-,42,Taiwan,221,2018/10/25,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018030200007652,F,-,-,-,-,31,Taiwan,-,2018/03/02,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018112500013071,F,-,-,-,-,65,Taiwan,-,2018/11/25,一定要收到,-,-,TRUE,TRUE,TRUE,TRUE
2017110400006594,M,-,-,-,-,-,Taiwan,114,2017/11/04,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018091200011117,F,-,-,-,-,38,Taiwan,235,2018/09/12,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018110500012738,M,-,-,-,-,52,Taiwan,235,2018/11/05,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018042200007985,M,-,-,-,-,38,Taiwan,-,2018/04/22,一定要收到,-,-,TRUE,TRUE,TRUE,TRUE
2018111000012810,M,-,-,-,-,37,Taiwan,-,2018/11/10,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019020400014455,M,-,-,-,-,20,Taiwan,241,2019/02/04,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019020600014535,M,-,-,-,-,53,Taiwan,-,2019/02/06,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2017033100005578,F,-,-,-,-,40,Taiwan,115,2017/03/31,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018041500007947,M,-,-,-,-,60,Taiwan,-,2018/04/15,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2017061100005887,F,-,-,-,-,55,Taiwan,110,2017/06/11,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2018061000008871,M,-,-,-,-,44,Taiwan,304,2018/06/10,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020011800025457,M,-,-,-,-,37,Taiwan,-,2020/01/18,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020071200031086,F,-,-,-,-,38,Taiwan,112,2020/07/12,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020071400031138,M,-,-,-,-,66,Taiwan,-,2020/07/14,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019031700015260,F,-,-,-,-,51,Taiwan,114,2019/03/17,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019083100021049,F,-,-,-,-,62,Taiwan,100,2019/08/31,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020102400035671,F,-,-,-,-,55,Taiwan,-,2020/10/24,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019120200023919,F,-,-,-,-,24,Taiwan,-,2019/12/02,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019092800021808,F,-,-,-,-,47,Taiwan,242,2019/09/28,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019090600021196,F,-,-,-,-,59,Taiwan,-,2019/09/06,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020102500035951,M,-,-,-,-,18,Taiwan,236,2020/10/25,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019040500015640,F,-,-,-,-,41,Taiwan,-,2019/04/05,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019041400016096,F,-,-,-,-,-,Taiwan,-,2019/04/14,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019031700015247,F,-,-,-,-,48,Taiwan,-,2019/03/17,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019092200021633,M,-,-,-,-,53,Taiwan,-,2019/09/22,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019040900015919,M,-,-,-,-,46,Taiwan,-,2019/04/09,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019050100016851,F,-,-,-,-,47,Taiwan,-,2019/05/01,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020110700036765,F,-,-,-,-,20,Taiwan,114,2020/11/07,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020081700032613,F,-,-,-,-,42,Taiwan,-,2020/08/17,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020062900030841,M,-,-,-,-,33,Taiwan,-,2020/06/29,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020100300034096,M,-,-,-,-,29,Taiwan,-,2020/10/03,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019042800016673,M,-,-,-,-,50,Taiwan,221,2019/04/28,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020040500028124,F,-,-,-,-,41,Taiwan,-,2020/04/05,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
