Business_ID,Counter_ID,Category,SITE_ID,Branch
00000519,30038,Sportswear,9770,禮客台中店
00000519,30038,Sportswear,9880,禮客內湖2店
00000520,70007,Housewares,9770,禮客台中店
00000520,70007,Housewares,9880,禮客內湖2店
00000521,70012,Women's Wear,9770,禮客台中店
00000521,70012,Women's Wear,9550,禮客內湖店
00000521,70012,Women's Wear,9880,禮客內湖2店
00000522,70014,Housewares,9770,禮客台中店
00000522,70014,Housewares,9880,禮客內湖2店
00000523,00024,Housewares,9880,禮客內湖2店
00000523,00024,Housewares,9770,禮客台中店
00000524,10054,Fashion,9770,禮客台中店
00000524,10054,Fashion,9880,禮客內湖2店
00000525,20016,Sportswear,9770,禮客台中店
00000525,20016,Sportswear,9880,禮客內湖2店
00000526,10055,Housewares,9880,禮客內湖2店
00000526,10055,Housewares,9770,禮客台中店
00000527,30038,Sportswear,9880,禮客內湖2店
00000527,30038,Sportswear,9770,禮客台中店
00000528,50034,Housewares,9770,禮客台中店
00000528,50034,Housewares,9880,禮客內湖2店
00000529,50026,Kids,9770,禮客台中店
00000529,50026,Kids,9880,禮客內湖2店
00000530,50039,Housewares,9770,禮客台中店
00000530,50039,Housewares,9880,禮客內湖2店
00000531,10056,Women's Wear,9880,禮客內湖2店
00000531,10056,Women's Wear,9770,禮客台中店
00000532,70006,Accessories,9770,禮客台中店
00000532,70006,Accessories,9880,禮客內湖2店
00000533,70014,Housewares,9770,禮客台中店
00000533,70014,Housewares,9880,禮客內湖2店
00000534,70015,Sportswear,9770,禮客台中店
00000534,70015,Sportswear,9880,禮客內湖2店
00000535,10002,Women's Wear,9880,禮客內湖2店
00000535,10002,Women's Wear,9770,禮客台中店
00000536,10009,Accessories,9880,禮客內湖2店
00000536,10009,Accessories,9770,禮客台中店
00000537,10054,Fashion,9880,禮客內湖2店
00000537,10054,Fashion,9770,禮客台中店
00000538,30030,Men's Wear,9880,禮客內湖2店
00000538,30030,Men's Wear,9770,禮客台中店
00000539,30034,Men's Wear,9770,禮客台中店
00000539,30034,Men's Wear,9880,禮客內湖2店
00000540,30035,Men's Wear,9770,禮客台中店
00000540,30035,Men's Wear,9880,禮客內湖2店
00000541,40023,Women's Wear,9770,禮客台中店
00000541,40023,Women's Wear,9550,禮客內湖店
00000541,40023,Women's Wear,9880,禮客內湖2店
00000542,20004,Women's Wear,9770,禮客台中店
00000542,20004,Women's Wear,9880,禮客內湖2店
00000542,20004,Women's Wear,9550,禮客內湖店
00000543,10003,Women's Wear,9880,禮客內湖2店
00000543,10003,Women's Wear,9770,禮客台中店
00000543,10003,Women's Wear,9550,禮客內湖店
00000544,30026,Sportswear,9770,禮客台中店
00000544,30026,Sportswear,9880,禮客內湖2店
00000545,40001,Women's Wear,9770,禮客台中店
00000545,40001,Women's Wear,9880,禮客內湖2店
00000546,40003,Women's Wear,9770,禮客台中店
00000546,40003,Women's Wear,9880,禮客內湖2店
00000547,40004,Women's Wear,9880,禮客內湖2店
00000547,40004,Women's Wear,9770,禮客台中店
00000548,40007,Women's Wear,9770,禮客台中店
00000548,40007,Women's Wear,9880,禮客內湖2店
00000549,40010,Women's Wear,9770,禮客台中店
00000549,40010,Women's Wear,9880,禮客內湖2店
00000550,40020,Women's Wear,9770,禮客台中店
00000550,40020,Women's Wear,9880,禮客內湖2店
00000551,40031,Women's Wear,9770,禮客台中店
00000551,40031,Women's Wear,9880,禮客內湖2店
00000552,50029,Housewares,9770,禮客台中店
00000552,50029,Housewares,9880,禮客內湖2店
00000553,20019,Sportswear,9880,禮客內湖2店
00000553,20019,Sportswear,9770,禮客台中店
00000554,10057,Leisurewear,9880,禮客內湖2店
00000554,10057,Leisurewear,9770,禮客台中店
00000555,50040,Housewares,9770,禮客台中店
00000555,50040,Housewares,9880,禮客內湖2店
00000556,00025,Housewares,9880,禮客內湖2店
00000556,00025,Housewares,9770,禮客台中店
00000557,40029,Beauty,9770,禮客台中店
00000557,40029,Beauty,9880,禮客內湖2店
00000558,40032,Women's Wear,9770,禮客台中店
00000558,40032,Women's Wear,9880,禮客內湖2店
00000559,30031,Men's Wear,9880,禮客內湖2店
00000559,30031,Men's Wear,9770,禮客台中店
00000560,20014,Sportswear,9770,禮客台中店
00000560,20014,Sportswear,9880,禮客內湖2店
00000561,20031,Sportswear,9770,禮客台中店
00000561,20031,Sportswear,9880,禮客內湖2店
00000561,20031,Sportswear,9550,禮客內湖店
00000562,30004,Women's Wear,9880,禮客內湖2店
00000562,30004,Women's Wear,9770,禮客台中店
00000563,30006,Fashion,9880,禮客內湖2店
00000563,30006,Fashion,9770,禮客台中店
00000564,40006,Women's Wear,9770,禮客台中店
00000564,40006,Women's Wear,9880,禮客內湖2店
00000565,50001,Housewares,9770,禮客台中店
00000565,50001,Housewares,9880,禮客內湖2店
00000566,10041,Accessories,9880,禮客內湖2店
00000566,10041,Accessories,9770,禮客台中店
00000567,70014,Housewares,9770,禮客台中店
00000567,70014,Housewares,9880,禮客內湖2店
00000568,10054,Fashion,9880,禮客內湖2店
00000568,10054,Fashion,9770,禮客台中店
00000569,10057,Leisurewear,9880,禮客內湖2店
00000569,10057,Leisurewear,9770,禮客台中店
00000570,30024,Accessories,9770,禮客台中店
00000570,30024,Accessories,9880,禮客內湖2店
00000571,60003,Restaurants,9770,禮客台中店
00000571,60003,Restaurants,9880,禮客內湖2店
00000572,10057,Leisurewear,9880,禮客內湖2店
00000572,10057,Leisurewear,9770,禮客台中店
00000573,20016,Sportswear,9770,禮客台中店
00000573,20016,Sportswear,9880,禮客內湖2店
00000574,30030,Men's Wear,9880,禮客內湖2店
00000574,30030,Men's Wear,9770,禮客台中店
00000575,30035,Men's Wear,9880,禮客內湖2店
00000575,30035,Men's Wear,9770,禮客台中店
00000576,40023,Women's Wear,9880,禮客內湖2店
00000576,40023,Women's Wear,9770,禮客台中店
00000577,10058,Sportswear,9880,禮客內湖2店
00000577,10058,Sportswear,9770,禮客台中店
00000578,70009,Sportswear,9770,禮客台中店
00000578,70009,Sportswear,9880,禮客內湖2店
00000579,10057,Leisurewear,9880,禮客內湖2店
00000579,10057,Leisurewear,9770,禮客台中店
00000580,10058,Sportswear,9880,禮客內湖2店
00000580,10058,Sportswear,9770,禮客台中店
00000581,20025,Sportswear,9770,禮客台中店
00000581,20025,Sportswear,9880,禮客內湖2店
00000581,20025,Sportswear,9550,禮客內湖店
00000582,30034,Men's Wear,9880,禮客內湖2店
00000582,30034,Men's Wear,9770,禮客台中店
00000583,30027,Women's Wear,9770,禮客台中店
00000583,30027,Women's Wear,9880,禮客內湖2店
00000584,10037,Housewares,9880,禮客內湖2店
00000584,10037,Housewares,9770,禮客台中店
00000586,70016,Sportswear,9770,禮客台中店
00000586,70016,Sportswear,9880,禮客內湖2店
00000587,10058,Sportswear,9880,禮客內湖2店
00000587,10058,Sportswear,9770,禮客台中店
00000588,20025,Sportswear,9880,禮客內湖2店
00000588,20025,Sportswear,9770,禮客台中店
00000589,20016,Sportswear,9770,禮客台中店
00000589,20016,Sportswear,9880,禮客內湖2店
00000590,30030,Men's Wear,9770,禮客台中店
00000590,30030,Men's Wear,9880,禮客內湖2店
00000591,30035,Men's Wear,9770,禮客台中店
00000591,30035,Men's Wear,9880,禮客內湖2店
00000592,40023,Women's Wear,9770,禮客台中店
00000592,40023,Women's Wear,9880,禮客內湖2店
00000593,10034,Men's Wear,9880,禮客內湖2店
00000593,10034,Men's Wear,9770,禮客台中店
00000594,70012,Women's Wear,9770,禮客台中店
00000594,70012,Women's Wear,9880,禮客內湖2店
00000597,10059,Women's Wear,9880,禮客內湖2店
00000597,10059,Women's Wear,9770,禮客台中店
00005961,20073,Fashion,9550,禮客內湖店
00009899,35082,Women's Wear,9660,禮客公館店
00010306,35078,Men's Wear,9660,禮客公館店
00010307,95002,Mix,9660,禮客公館店
00010872,35120,Women's Wear,9660,禮客公館店
00010873,15055,Accessories,9660,禮客公館店
00010877,35058,Sportswear,9660,禮客公館店
00010878,95003,Others,9660,禮客公館店
00010900,35146,Men's Wear,9660,禮客公館店
00010907,15067,Accessories,9660,禮客公館店
00010912,15069,Accessories,9660,禮客公館店
00010913,35148,Leisurewear,9660,禮客公館店
00010914,55041,Outdoors,9660,禮客公館店
00010915,35086,Men's Wear,9660,禮客公館店
00010916,15058,Accessories,9660,禮客公館店
00010917,35012,Sportswear,9660,禮客公館店
00010918,35044,Men's Wear,9660,禮客公館店
00010919,35011,Leisurewear,9660,禮客公館店
00010920,35055,Men's Wear,9660,禮客公館店
00010921,35074,Sportswear,9550,禮客內湖店
00010921,35074,Sportswear,9660,禮客公館店
00010922,35118,Men's Wear,9660,禮客公館店
00010923,35130,Men's Wear,9660,禮客公館店
00010924,35133,Men's Wear,9660,禮客公館店
00010925,55001,Outdoors,9660,禮客公館店
00010926,55030,Outdoors,9660,禮客公館店
00010927,55033,Outdoors,9660,禮客公館店
00010928,35132,Women's Wear,9660,禮客公館店
00010929,15030,Beauty,9660,禮客公館店
00010930,35008,Sportswear,9660,禮客公館店
00010931,35027,Women's Wear,9660,禮客公館店
00010932,35085,Kids,9660,禮客公館店
00010933,15001,Accessories,9660,禮客公館店
00010934,15004,Accessories,9660,禮客公館店
00010935,35021,Women's Wear,9660,禮客公館店
00010936,35056,Women's Wear,9660,禮客公館店
00010937,35057,Leisurewear,9660,禮客公館店
00010938,35136,Women's Wear,9660,禮客公館店
00010939,55002,Housewares,9660,禮客公館店
00010940,55024,Housewares,9660,禮客公館店
00010941,35059,Sportswear,9550,禮客內湖店
00010941,35059,Sportswear,9660,禮客公館店
00010942,35017,Kids,9550,禮客內湖店
